structure_name,species,source_atlas,category,expected_homba_id,expected_homba_name,coverage_status,notes
Superior cerebellar peduncle and prerubral field,Rat,WaxholmSpace_v4,white_matter,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),approximate,auto: RCS top-1 score=0.776
Superior paraolivary nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12463,superior paraolivary nucleus,mapped,auto: RCS top-1 score=1.000
Superior periolivary region,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12462,superior olivary complex,unmapped,auto: RCS top-1 score=0.538
Suprageniculate nucleus,Rat,Leergaard2023_WHS,gray_matter,HOMBA:13044,suprageniculate nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Supraoptic decussation,Rat,WaxholmSpace_v4,gray_matter,HOMBA:13216,supraoptic decussation,mapped,auto: RCS top-1 score=1.000
Temporal association cortex,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10235,temporal cortex,approximate,auto: RCS top-1 score=0.670
Transverse fibers of the pons,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12795,transverse fibers of pons (pontine crossing tract),approximate,auto: RCS top-1 score=0.801
Trapezoid body,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12796,trapezoid body,mapped,auto: RCS top-1 score=1.000
Ventral anterior thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30339,ventral anterior hypothalamic nucleus,mapped,auto: RCS top-1 score=0.904
"Ventral cochlear nucleus, anterior part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12439,ventral cochlear nucleus,mapped,auto: RCS top-1 score=0.969
"Ventral cochlear nucleus, cap area",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12439,ventral cochlear nucleus,mapped,auto: RCS top-1 score=0.998
"Ventral cochlear nucleus, granule cell layer",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12439,ventral cochlear nucleus,approximate,auto: RCS top-1 score=0.791
"Ventral cochlear nucleus, posterior part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12439,ventral cochlear nucleus,approximate,auto: RCS top-1 score=0.897
Ventral hippocampal commissure,Rat,WaxholmSpace_v4,white_matter,HOMBA:12023,ventral hippocampal commissure,mapped,auto: RCS top-1 score=1.000
Ventral orbital area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,approximate,auto: RCS top-1 score=0.695
Ventral pallidum,Rat,Leergaard2023_WHS | WaxholmSpace_v4,gray_matter,HOMBA:10345,ventral pallidum,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Ventral periolivary nuclei,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12568,"solitary nucleus, ventral division",approximate,auto: RCS top-1 score=0.781
"Ventral posterior nucleus of the thalamus, parvicellular part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10423,ventral posterior nuclear complex of thalamus,approximate,auto: RCS top-1 score=0.865
Ventral posterolateral thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10424,ventral posterior lateral nucleus,mapped,auto: RCS top-1 score=0.925
Ventral posteromedial thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10425,ventral posterior medial nucleus,mapped,auto: RCS top-1 score=0.924
Ventral striatal region (unspecified),Rat,Leergaard2023_WHS,gray_matter,HOMBA:AA30195,ventral striatum (STRv),unmapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.597
"Ventral striatal region, unspecified",Rat,WaxholmSpace_v4,white_matter,HOMBA:10557,forebrain white matter (unspecified region),unmapped,auto: RCS top-1 score=0.458
Ventral tegmental area,Rat,Leergaard2023_WHS | WaxholmSpace_v4,gray_matter,HOMBA:12261,ventral tegmental area,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
"Ventricular system, unspecified",Rat,WaxholmSpace_v4,ventricle,HOMBA:10542,ventricular zone of neocortex,unmapped,auto: RCS top-1 score=0.275
Ventrolateral orbital area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30533,orbital gyri,unmapped,auto: RCS top-1 score=0.521
Ventrolateral thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.680
Ventromedial thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10488,ventromedial hypothalamic nucleus,approximate,auto: RCS top-1 score=0.740
Vestibular apparatus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12448,vestibular nuclei in pons,unmapped,auto: RCS top-1 score=0.450
Vestibular nerve,Rat,WaxholmSpace_v4,white_matter,HOMBA:12868,root of vestibulocochlear nerve,approximate,auto: RCS top-1 score=0.665
Xiphoid thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30277,xiphoid thalamic nucleus,mapped,auto: RCS top-1 score=1.000
Zona incerta (caudal part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10463,zona incerta,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.880
Zona incerta (dorsal part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10463,zona incerta,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.880
Zona incerta (rostral part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10463,zona incerta,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.880
Zona incerta (ventral part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10463,zona incerta,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.880
"Zona incerta, A11 dopamine cells",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10463,zona incerta,approximate,auto: RCS top-1 score=0.649
"Zona incerta, A13 dopamine cells",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10463,zona incerta,approximate,auto: RCS top-1 score=0.649
"Zona incerta, caudal part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10463,zona incerta,approximate,auto: RCS top-1 score=0.667
"Zona incerta, dorsal part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10463,zona incerta,approximate,auto: RCS top-1 score=0.667
"Zona incerta, rostral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10463,zona incerta,approximate,auto: RCS top-1 score=0.748
"Zona incerta, ventral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10463,zona incerta,approximate,auto: RCS top-1 score=0.659
