structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence
monoaminergic fibers,monoaminergic fibers,Macaque,PM41211692,1,1,other,seed_remap,high,1.0
monoaminergic nuclei,monoaminergic nuclei,Mouse,PM33372061,1,1,non_neocortex,seed_remap,high,1.0
monosynaptic input neurons,,Mouse,PM42284148,1,1,other,seed_remap,high,1.0
"MOp, MOs, SSp","motor cortex primary, motor cortex secondary, somatosensory cortex primary",,PM40777408,1,1,neocortex,flash,high,0.95
MOR-containing nerve terminals,MOR-containing nerve terminals,Mouse,PM36379705,1,1,other,seed_remap,high,1.0
MOs-c CTTle4,,,PM37961483,1,1,neocortex,flash,medium,0.6833
mOT,medial olfactory tubercle,Mouse,PM41071659,1,1,non_neocortex,flash,high,0.9833
motoneuron cell bodies,motoneuron cell bodies,,PM38076820,1,1,other,seed_remap,high,1.0
motoneuron lamina IX,motoneuron lamina IX,,PM34624846,1,1,non_neocortex,seed_remap,high,1.0
motoneuron pools,motoneuron pools,Mouse,PM40897541,1,1,non_neocortex,seed_remap,high,1.0
motoneurons in L6 Lamina IX,motoneurons in Lamina IX,Rat,PM34772694,1,1,non_neocortex,seed_remap,high,1.0
motor and somatosensory cortex,motor and somatosensory cortex,Mouse,PM36214727,1,1,neocortex,flash,high,0.9833
motor area,,,PM35844218,1,1,neocortex,flash,high,0.8833
motor cortex layer 5 pyramidal neurons,motor cortex layer 5 pyramidal neurons,Mouse,PM42465307,1,1,neocortex,flash,high,0.9833
motor cortex neurons,motor cortex neurons,Rat,PM42244762,1,1,neocortex,flash,high,0.9833
motor cortical regions,motor cortical regions,,PM38156644,1,1,neocortex,flash,high,0.9833
motor cortical targets,,Mouse,PM37461601,1,1,neocortex,flash,medium,0.9
motor network,motor network,Human,PM32919055,1,1,other,seed_remap,high,1.0
motor neuron pool,motor neuron pool,,PM32501952,1,1,non_neocortex,seed_remap,high,1.0
motor pools,motor pools,Rat,PM36090254,1,1,non_neocortex,seed_remap,high,1.0
motor regions,,Human,PM37005061,1,1,other,flash,medium,0.7667
motor thalamic nuclei,motor thalamic nuclei,Mouse,PM34617601,1,1,non_neocortex,seed_remap,high,1.0
motor trigeminal nucleus,motor trigeminal nucleus,Mouse,PM33715169,1,1,non_neocortex,seed_remap,high,1.0
motor-sensory cortex,motor-sensory cortex,Mouse,PM37751813,1,1,neocortex,flash,high,0.9833
mouse limb bud,mouse limb bud,mouse (limb bud); human hiPS cells (hSpS),PM33333020,1,1,other,seed_remap,high,1.0
mPFC and vHC,medial prefrontal cortex and ventral hippocampus,Rat,PM35279742,1,1,other,seed_remap,high,1.0
mPFC ChR2-negative principal neurons,,Mouse,PM37644172,1,1,neocortex,flash,high,0.9833
mPFC L5-ET,medial prefrontal cortex layer 5 extratelencephalic,,PM41640626,1,1,neocortex,flash,high,0.9833
mPFC layer II/III,medial prefrontal cortex layer II/III,Mouse,PM35590075,1,1,neocortex,flash,high,0.9833
mPFC LII/III,medial prefrontal cortex layers II/III,Rat,PM37865263,1,1,neocortex,flash,high,0.9967
mPFC LV,medial prefrontal cortex layer V,Rat,PM37865263,1,1,neocortex,flash,high,0.9967
mPFC projection neurons,medial prefrontal cortex projection neurons,,PM35869304,1,1,neocortex,flash,high,0.9967
mPFC PV-INs,medial prefrontal cortex parvalbumin interneurons,Mouse,PM41212632,1,1,neocortex,flash,high,0.9967
mPFC PYRs,medial prefrontal cortex pyramidal neurons,Mouse,PM41212632,1,1,neocortex,flash,high,0.9967
mPFC SST,medial prefrontal cortex somatostatin-expressing neurons,Mouse,PM42239644,1,1,neocortex,flash,high,0.9967
mPFC SST interneurons,medial prefrontal cortex SST interneurons,Mouse,PM40777258,1,1,neocortex,flash,high,0.9767
mPFC VIP interneurons,medial prefrontal cortex VIP interneurons,Mouse,PM40777258,1,1,neocortex,flash,high,0.9767
mPFC-SST,medial prefrontal cortex somatostatin-expressing neurons,Mouse,PM42239644,1,1,neocortex,flash,high,0.9767
mPFtha,,Human,PM41039494,1,1,ambiguous,flash,medium,0.4167
mpITC,medial posterior insula temporal cortex,Mouse,PM34295235,1,1,non_neocortex,pro,medium,0.7167
MPL,medial paralemniscal nucleus,Rat,PM36958466,1,1,non_neocortex,seed_remap,high,1.0
mPMtha,,Human,PM41039494,1,1,non_neocortex,seed_remap,high,1.0
MPO-LPO,medial and lateral preoptic regions,Mouse,PM33328909,1,1,non_neocortex,seed_remap,high,1.0
MPOM,"medial preoptic nucleus, medial part",,PM38963696,1,1,non_neocortex,seed_remap,high,1.0
MPTg,mesopontine tegmentum,Mouse,PM38977300,1,1,non_neocortex,seed_remap,high,1.0
mPVH,magnocellular hypothalamic paraventricular nucleus,,PM33940517,1,1,non_neocortex,seed_remap,high,1.0
MR6-d,,,PM33174208,1,1,ambiguous,flash,medium,0.2333
MrgprD+ DRG neurons,MrgprD-expressing dorsal root ganglion neurons,Mouse,PM35561677,1,1,other,seed_remap,high,1.0
Mrgprd+ nociceptors,Mrgprd-expressing nociceptors,Mouse,PM35693883,1,1,other,seed_remap,high,1.0
MS/DBB neurons,medial septum/diagonal band of Broca neurons,Mouse,PM33933476,1,1,non_neocortex,seed_remap,high,1.0
MSA,medial septal area,Mouse,PM38685526,1,1,non_neocortex,seed_remap,high,1.0
MSGlu,glutamatergic neurons in the medial septum,Mouse,PM42008830,1,1,non_neocortex,seed_remap,high,1.0
mSNr,medial substantia nigra pars reticulata,Mouse,PM41704772,1,1,non_neocortex,seed_remap,high,1.0
MT neurons,,,PM33174208,1,1,neocortex,flash,high,0.95
MT/MST,medial temporal area / medial superior temporal area,Macaque,PM32632196,1,1,neocortex,flash,high,0.95
MTG,middle temporal gyrus,,PM38290158,1,1,neocortex,flash,high,0.95
MThDN/IPN,dentate/interpositus nucleus-recipient region of motor thalamus,Mouse,PM34146469,1,1,non_neocortex,seed_remap,high,1.0
MTL,medial temporal lobe,Human,PM32673747,1,1,other,seed_remap,high,1.0
MTL A36,,Macaque,PM38746103,1,1,non_neocortex,flash,high,0.8833
MTT,mammillo-thalamic tract,,PM41959286,1,1,other,seed_remap,high,1.0
mucosa,mucosa,,PM32986284,1,1,other,seed_remap,high,1.0
mucosa of mouse small intestine,mucosa of mouse small intestine,Mouse,PM38625817,1,1,other,seed_remap,high,1.0
multiple areas,,Mouse,PM37862168,1,1,other,seed_remap,high,1.0
multiple brain regions (presynaptic to D1-MSNs),,Mouse,PM33380525,1,1,other,seed_remap,high,1.0
multiple brain regions (presynaptic to D2-MSNs),,Mouse,PM33380525,1,1,other,seed_remap,high,1.0
multiple cortical and subcortical targets,,,PM34754107,1,1,other,seed_remap,high,1.0
multiple input regions,,,PM37121600,1,1,other,seed_remap,high,1.0
multiple sensory cortices,multiple sensory cortices,Mouse,PM33987642,1,1,neocortex,flash,medium,0.7333
"multiple subcortical, brainstem and spinal areas associated with forelimb and orofacial control",,Mouse,PM40470211,1,1,non_neocortex,seed_remap,high,1.0
muralis/caudalis subnuclei,muralis/caudalis subnuclei of the sensory trigeminal complex,Rat,PM37703878,1,1,non_neocortex,seed_remap,high,1.0
muscle,muscle,Human,PM32611201,1,1,other,seed_remap,high,1.0
muscle afferents,muscle afferents from first dorsal interosseous (FDI) and abductor pollicis brevis (AbPb),Macaque,PM35973735,1,1,other,seed_remap,high,1.0
muscle afferents now innervating the skin in stoml3 mutant mice,,Mouse,PM40163784,1,1,other,seed_remap,high,1.0
muscle spindle,muscle spindle,Macaque,PM38106121,1,1,other,seed_remap,high,1.0
muscle spindles,muscle spindles,Mouse,PM38238800,1,1,other,seed_remap,high,1.0
muscles,synergic muscles,,PM39005333,1,1,other,seed_remap,high,1.0
mushroom body lobes,,,PM35055868,1,1,other,seed_remap,high,1.0
MV,,,PM35013368,1,1,ambiguous,flash,medium,0.3
MvePC,medial vestibular parvicellular subfields nucleus,Mouse,PM36309763,1,1,non_neocortex,seed_remap,high,1.0
MVL,ventrolateral mesopallium,,PM33483632,1,1,other,seed_remap,high,1.0
mVTA,medial ventral tegmental area,Hamster,PM40249519,1,1,non_neocortex,seed_remap,high,1.0
myelencephalon,myelencephalon,Tree shrew,PM34411776,1,1,non_neocortex,seed_remap,high,1.0
myenteric ganglion,myenteric ganglion,Mouse,PM37694767,1,1,other,seed_remap,high,1.0
myenteric neurons (both nNOS+ and nNOS-),,,PM36622086,1,1,other,seed_remap,high,1.0
myenteric plexus neurons,,Mouse,PM42117337,1,1,other,seed_remap,high,1.0
myotubes,myotubes,Mouse,PM39884003,1,1,other,seed_remap,high,1.0
MZ,magnocellular zone,,PM40279885,1,1,non_neocortex,seed_remap,high,1.0
Müller glia,Müller glia,Mouse,PM34083252,1,1,other,seed_remap,high,1.0
n11.Trh/Cxcl12 Arc neurons,,Mouse,PM39627618,1,1,non_neocortex,seed_remap,high,1.0
NA neurons,noradrenergic neurons,Rat,PM39373381,1,1,non_neocortex,seed_remap,high,1.0
NA/NL,,,PM41108202,1,1,ambiguous,flash,medium,0.4667
NAc ChIs,nucleus accumbens cholinergic interneurons,Mouse,PM40052940,1,1,non_neocortex,seed_remap,high,1.0
NAc Core D1-SPNs,nucleus accumbens core D1-expressing spiny projection neurons,Mouse,PM37323585,1,1,non_neocortex,seed_remap,high,1.0
NAc D2-MSN (or general afferent),nucleus accumbens D2-medium spiny neuron,Mouse,PM37414552,1,1,non_neocortex,seed_remap,high,1.0
NAc dorsal pole,nucleus accumbens dorsal pole,Pig,PM42133082,1,1,non_neocortex,seed_remap,high,1.0
NAc shellGABA,nucleus accumbens shell GABAergic neurons,Mouse,PM41764545,1,1,non_neocortex,seed_remap,high,1.0
NAc-projecting VGAT-Cre neurons,nucleus accumbens-projecting VGAT-expressing neurons,Mouse,PM40238649,1,1,non_neocortex,seed_remap,high,1.0
NAc-projecting VTA neurons,nucleus accumbens-projecting ventral tegmental area neurons,Mouse,PM40238649,1,1,non_neocortex,seed_remap,high,1.0
NAcb,nucleus accumbens,Mouse,PM33955100,1,1,non_neocortex,seed_remap,high,1.0
NAcbS,nucleus accumbens shell,Rat,PM36843155,1,1,non_neocortex,seed_remap,high,1.0
NAcCore,nucleus accumbens core,,PM42138352,1,1,non_neocortex,seed_remap,high,1.0
NAcCRH,NAc CRH neurons,Mouse,PM38980648,1,1,non_neocortex,seed_remap,high,1.0
NAcLat,nucleus accumbens lateral shell,,PM42138352,1,1,non_neocortex,seed_remap,high,1.0
NAcMed,nucleus accumbens medial shell,,PM42138352,1,1,non_neocortex,seed_remap,high,1.0
NAcore D1-MSN,nucleus accumbens core D1-expressing medium spiny neurons,Rat,PM34642457,1,1,non_neocortex,seed_remap,high,1.0
NAcore D2-MSN,nucleus accumbens core D2-expressing medium spiny neurons,Rat,PM34642457,1,1,non_neocortex,seed_remap,high,1.0
NAcSM,medial nucleus accumbens shell,Mouse,PM37331669,1,1,non_neocortex,seed_remap,high,1.0
NAshell,nucleus accumbens shell,Rat,PM34431593,1,1,non_neocortex,seed_remap,high,1.0
ND,nodose ganglion,Mouse,PM38601267,1,1,other,seed_remap,high,1.0
Ndnf interneurons,neuron-derived neurotrophic factor interneurons,,PM41702716,1,1,other,seed_remap,high,1.0
Ndnf neurons,neuron-derived neurotrophic factor neurons,,PM41702716,1,1,other,seed_remap,high,1.0
NDNF+ cells (neurogliaform cells),NDNF+ neurogliaform cells in CA1 SR/SLM,Mouse,PM39446584,1,1,non_neocortex,seed_remap,high,1.0
NE,elliptic nucleus,,PM37660322,1,1,non_neocortex,seed_remap,high,1.0
nearby layer 2/3 neurons,,,PM33224026,1,1,neocortex,flash,high,0.8833
neocortical areas,,Mouse,PM40455405,1,1,neocortex,flash,high,0.9767
neocortical premotor regions,,Human,PM40750361,1,1,neocortex,flash,high,0.9767
"neocortical, striatal, and sub-thalamic areas",,Mouse,PM34667149,1,1,other,seed_remap,high,1.0
neostriatum,neostriatum,Mouse,PM40199324,1,1,non_neocortex,seed_remap,high,1.0
NeuN positive neurons,NeuN positive neurons,,PM40334752,1,1,other,seed_remap,high,1.0
Neurog2-programmed neurons in striatum,,Mouse,PM37995703,1,1,non_neocortex,seed_remap,high,1.0
neurogliaform cells,neurogliaform cells,Mouse,PM41082527,1,1,other,seed_remap,high,1.0
neuromuscular junction,neuromuscular junction,Mouse,PM38238800,1,1,other,seed_remap,high,1.0
neurons (early-born),early-born neurons,Mouse,PM37561632,1,1,other,seed_remap,high,1.0
neurons (LVI fate-converted SCPN),layer VI fate-converted subcerebral projection neurons,Mouse,PM37561632,1,1,neocortex,flash,high,0.95
neurons in ACx and posterior auditory thalamus,neurons in auditory cortex and posterior auditory thalamus,Mouse,PM34610277,1,1,other,seed_remap,high,1.0
neurons in groups with clear-cut borders,,Rat,PM32528401,1,1,other,seed_remap,high,1.0
neurons in M1,neurons in primary motor cortex,Mouse,PM34610277,1,1,neocortex,flash,high,0.9767
neurons in the next lower level of the hierarchy,,,PM40338986,1,1,other,seed_remap,high,1.0
neurons in the visual cortex module,,,PM40338986,1,1,neocortex,flash,high,0.95
neurons in various brain regions,,Mouse,PM33626343,1,1,other,seed_remap,high,1.0
neurons innervating glioma sites,,,PM39630872,1,1,other,seed_remap,high,1.0
neurons projecting to MCH,,Mouse,PM41652471,1,1,other,seed_remap,high,1.0
neurons sending monosynaptic inputs,,Mouse,PM34823066,1,1,other,seed_remap,high,1.0
NGFI,NDNF-expressing neurons,Mouse,PM42395501,1,1,other,seed_remap,high,1.0
NGs,nodose ganglia,,PM33171152,1,1,other,seed_remap,high,1.0
NGTRPV1,TRPV1-positive neurons in the nodose ganglia,,PM41933645,1,1,other,seed_remap,high,1.0
nICP,interstitial nucleus of the posterior commissure,,PM36455518,1,1,non_neocortex,seed_remap,high,1.0
nigra,substantia nigra,Human,PM36516880,1,1,non_neocortex,seed_remap,high,1.0
nigrostriatal,,Rat,PM39627032,1,1,other,seed_remap,high,1.0
NK1-CreGFP+ neurons in the spinal cord,NK1-CreGFP+ neurons in the spinal cord,Mouse,PM34730998,1,1,non_neocortex,seed_remap,high,1.0
NkB-producing neurons,neurokinin B-producing neurons,Mouse,PM35860212,1,1,other,flash,medium,0.8
NMBR+ DH neurons,NMBR+ dorsal horn neurons,Mouse,PM34986325,1,1,non_neocortex,seed_remap,high,1.0
NMC,neocortical microcircuit,Rat,PM34131136,1,1,neocortex,flash,high,0.8833
nMOT,marginal nucleus of the optic tract,,PM40911558,1,1,non_neocortex,seed_remap,high,1.0
nNOS+ myenteric neurons,nitric oxide synthase positive neurons,,PM36622086,1,1,other,seed_remap,high,1.0
NO,nucleo-olivary pathway,,PM36116334,1,1,other,seed_remap,high,1.0
nociceptive fibers,CGRP+ nociceptive fibers,Mouse,PM41892288,1,1,other,seed_remap,high,1.0
nodose ganglion neurons,nodose ganglion neurons,,PM37982174,1,1,other,seed_remap,high,1.0
nodose neurons,nodose neurons,,PM32822608,1,1,other,seed_remap,high,1.0
nodose vagal sensory neurons,nodose vagal sensory neurons,Human,PM33029786,1,1,other,seed_remap,high,1.0
non-antenna cells,non-antenna cells,Mouse,PM36000342,1,1,other,seed_remap,high,1.0
non-lesion region,non-lesion region,Human,PM35640469,1,1,other,seed_remap,high,1.0
non-nitrergic enteric neurons,,,PM36622086,1,1,other,seed_remap,high,1.0
non-primary motor areas,,Human,PM32418913,1,1,neocortex,flash,high,0.95
non-rVRG,"non-rVRG neuronal populations (possibly excitatory interneurons, sensory afferents, and various supraspinal projection neurons)",Rat,PM33127470,1,1,other,seed_remap,high,1.0
non-selected and task-irrelevant muscles,,Human,PM39949052,1,1,other,seed_remap,high,1.0
non-SON neurones,,Rat,PM37030596,1,1,other,seed_remap,high,1.0
nonpulmonary innervation neurons,,,PM36358412,1,1,other,seed_remap,high,1.0
nonVIP-5HT3aR INs,nonVIP-5HT3aR interneurons,Mouse,PM33626343,1,1,other,seed_remap,high,1.0
noradrenaline afferents,noradrenaline afferents,Mouse,PM34921047,1,1,other,seed_remap,high,1.0
noradrenergic fibers,noradrenergic fibers,Rat,PM37855033,1,1,other,seed_remap,high,1.0
noradrenergic neurons,noradrenergic neurons,,PM39211088,1,1,other,seed_remap,high,1.0
normotopic cortex,normotopic cortex,Human,PM35048363,1,1,neocortex,flash,medium,0.8
NP,near-projecting,,PM36993334,1,1,other,seed_remap,high,1.0
NP neurons,near-projecting neurons,Mouse,PM38319699,1,1,other,seed_remap,high,1.0
NP1-3 afferents,non-peptidergic nociceptors,Mouse,PM37333120,1,1,other,seed_remap,high,1.0
Npas1 neurons,Npas1+ neurons,Mouse,PM36798372,1,1,other,flash,medium,0.8
Npas1+,Npas1+ neurons,Mouse,PM32868462,1,1,other,flash,high,0.95
Npas1+ neurons,Npas1+ neurons in the GPe,Mouse,PM33731445,1,1,non_neocortex,seed_remap,high,1.0
Npas1-GPe neurons,neuronal PAS domain protein 1-expressing globus pallidus externus neurons,Mouse,PM37207651,1,1,non_neocortex,seed_remap,high,1.0
NPC grafts,grafted neural progenitor cells,Rat,PM32376949,1,1,other,seed_remap,high,1.0
NPY interneurons (CA1 SLM),neuropeptide Y-expressing interneurons in stratum lacunosum-moleculare of CA1,Mouse,PM34712120,1,1,non_neocortex,seed_remap,high,1.0
NPY neurons in mPFC,NPY neurons in medial prefrontal cortex,Mouse,PM42056862,1,1,neocortex,flash,high,0.99
Npy+ CBN,Neuropeptide Y-positive cortico-brainstem neurons,,PM42173922,1,1,other,flash,medium,0.8667
NPY/AgRP arcuate neurons,neuropeptide Y/agouti-related peptide arcuate neurons,Mouse,PM39627618,1,1,non_neocortex,seed_remap,high,1.0
Npy2r-nAmb,Npy2r-expressing neurons in nucleus ambiguus,Mouse,PM38168262,1,1,non_neocortex,seed_remap,high,1.0
Nr5a1 L4 V1 neurons,Nr5a1+ layer 4 V1 neurons,Mouse,PM37786698,1,1,neocortex,flash,high,0.9933
NRNav1.8,nociceptive afferent expressing Nav1.8,Mouse,PM39256039,1,1,other,seed_remap,high,1.0
Ntrk1 neurons,neurotrophic tyrosine kinase receptor type 1-expressing (cholinergic) neurons,Mouse,PM42049879,1,1,other,seed_remap,high,1.0
NTS commissural zone,nucleus of the solitary tract commissural zone,,PM34043943,1,1,non_neocortex,seed_remap,high,1.0
NTS Grp neurons,nucleus of the solitary tract Grp neurons,Mouse,PM36750092,1,1,non_neocortex,seed_remap,high,1.0
nTS neurons,nucleus tractus solitarii neurons,Rat,PM33039526,1,1,non_neocortex,seed_remap,high,1.0
NTS neurons (CRD-activated),nucleus tractus solitarius neurons,,PM37837642,1,1,non_neocortex,seed_remap,high,1.0
NTS TH-EGFP neurons,NTS tyrosine hydroxylase neurons,Mouse,PM41397282,1,1,non_neocortex,seed_remap,high,1.0
NTS-CCK neurons,nucleus tractus solitarius CCK neurons,Mouse,PM39509587,1,1,non_neocortex,seed_remap,high,1.0
NTS-producing neurons,neurotensin-producing neurons,Mouse,PM35860212,1,1,other,seed_remap,high,1.0
NTSGlu,glutamatergic neurons in the nucleus tractus solitarius,,PM41933645,1,1,non_neocortex,seed_remap,high,1.0
Ntsr1-cre tagged layer 6 neurons of insular cortex,Ntsr1-cre tagged layer 6 neurons of the insular cortex,,PM34949990,1,1,neocortex,flash,high,0.8467
Ntsr1-L6CT,,Mouse,PM39392390,1,1,other,flash,medium,0.8833
Ntsr1-L6CT neurons,,Mouse,PM39392390,1,1,neocortex,flash,high,0.9667
nuclei of the diagonal band,nuclei of the diagonal band,,PM40880178,1,1,non_neocortex,seed_remap,high,1.0
nucleus accumbens MSNs,nucleus accumbens medium spiny neurons,Mouse,PM38485256,1,1,non_neocortex,seed_remap,high,1.0
nucleus incertus,nucleus incertus,Rat,PM38710334,1,1,non_neocortex,seed_remap,high,1.0
nucleus of Darkschwitz,nucleus of Darkschwitz,,PM33715169,1,1,non_neocortex,seed_remap,high,1.0
nucleus of the lateral olfactory tract,nucleus of the lateral olfactory tract,,PM42133082,1,1,non_neocortex,seed_remap,high,1.0
nucleus of the optic tract,nucleus of the optic tract,Macaque,PM34994767,1,1,non_neocortex,seed_remap,high,1.0
nucleus of the posterior commissure,magnocellular nucleus of the posterior commissure,,PM35084433,1,1,non_neocortex,seed_remap,high,1.0
nucleus raphe magnus,nucleus raphe magnus,Mouse,PM33452250,1,1,non_neocortex,seed_remap,high,1.0
nucleus raphe pallidus,nucleus raphe pallidus,Mouse,PM33452250,1,1,non_neocortex,seed_remap,high,1.0
nucleus rotundus,nucleus rotundus,,PM33483632,1,1,non_neocortex,seed_remap,high,1.0
nucleus ruber,,,PM36455518,1,1,non_neocortex,seed_remap,high,1.0
nucleus submedius of thalamus,nucleus submedius of thalamus,,PM34061020,1,1,non_neocortex,seed_remap,high,1.0
nucleus tractus solitaries,nucleus tractus solitaries,Rat,PM35583808,1,1,non_neocortex,seed_remap,high,1.0
nucleus tractus solitarii,nucleus tractus solitarii,,PM42203107,1,1,non_neocortex,seed_remap,high,1.0
nVI,abducens nucleus,Macaque,PM33083961,1,1,non_neocortex,seed_remap,high,1.0
NVsnpr,main sensory nucleus,Mouse,PM41673392,1,1,non_neocortex,seed_remap,high,1.0
O-LM interneurons,oriens lacunosum-moleculare interneurons,Mouse,PM33350452,1,1,non_neocortex,seed_remap,high,1.0
O1,occipital lobe,Human,PM38376527,1,1,neocortex,flash,high,0.9667
OB GC,olfactory bulb granule cell layer,Mouse,PM39837663,1,1,non_neocortex,seed_remap,high,1.0
OB MC,olfactory bulb mitral cell,Rat,PM32625065,1,1,non_neocortex,seed_remap,high,1.0
oblique dendrites of L5PN,oblique dendrites of layer 5 pyramidal neurons,,PM37939085,1,1,other,flash,medium,0.95
obscurus raphé nucleus,obscurus raphé nucleus,,PM36271640,1,1,non_neocortex,seed_remap,high,1.0
OCA,octavolateral column area,,PM37164181,1,1,non_neocortex,seed_remap,high,1.0
occipital thalamus,occipital thalamus,,PM37304427,1,1,non_neocortex,seed_remap,high,1.0
occipital visual cortex,occipital visual cortex,Human,PM39709961,1,1,neocortex,flash,high,0.9667
OCT,occipito-temporal cortex,,PM36897881,1,1,neocortex,flash,high,0.9667
octopus cells,octopus cells,Gerbil,PM36279465,1,1,other,seed_remap,high,1.0
oculomotor-associated subnuclei,oculomotor-associated subnuclei,,PM34417283,1,1,non_neocortex,seed_remap,high,1.0
OFC GABAergic neurons,orbitofrontal cortex GABAergic neurons,,PM37678166,1,1,neocortex,flash,high,0.9667
OG,olfactory glomerulus,,PM32949023,1,1,non_neocortex,flash,high,0.9667
olfactory area,olfactory area,,PM41573365,1,1,non_neocortex,flash,high,0.9667
olfactory bulbs,,,PM34697803,1,1,non_neocortex,seed_keyword,high,1.0
olfactory nerve,,,PM32769989,1,1,other,seed_remap,high,1.0
olfactory system,,Human,PM38844444,1,1,other,seed_remap,high,1.0
oligoglomerular PN,,,PM32949023,1,1,other,seed_remap,high,1.0
olivary pretectal nucleus,olivary pretectal nucleus,Rat,PM33786741,1,1,non_neocortex,seed_remap,high,1.0
OLMα2 cells,OLMα2 cells,Mouse,PM40757734,1,1,non_neocortex,seed_remap,high,1.0
Onuf's nuclei,Onuf's nuclei,Rat,PM35018366,1,1,non_neocortex,seed_remap,high,1.0
OP-derived SPNs,occipital/posterior progenitor-derived striatal spiny projection neurons,Mouse,PM33910016,1,1,non_neocortex,seed_remap,high,1.0
OP/PoCg,parietal operculum/post-central gyrus,Human,PM34284239,1,1,neocortex,flash,high,0.9667
opposing IaINs,,,PM41494035,1,1,other,flash,high,0.8833
opposite side of pons,pons,,PM41211046,1,1,non_neocortex,seed_remap,high,1.0
opposite side via corpus callosum,corpus callosum,,PM41211046,1,1,other,seed_remap,high,1.0
OPro,area OPro,,PM40542691,1,1,ambiguous,flash,medium,0.6167
optic chiasm,optic chiasm,,PM36909943,1,1,other,seed_remap,high,1.0
optic tract,optic tract,Mouse,PM32497303,1,1,other,seed_remap,high,1.0
OR,optic radiation,Marmoset,PM37168578,1,1,other,seed_remap,high,1.0
orbital frontal cortex,orbital frontal cortex,,PM33380525,1,1,neocortex,flash,high,0.9667
orbital gyri,,,PM34999565,1,1,neocortex,flash,high,0.95
ORBl,lateral orbitofrontal cortex,Mouse,PM40256320,1,1,neocortex,flash,high,0.97
orexin-LH,orexin neurons in the lateral hypothalamus,Mouse,PM41587334,1,1,non_neocortex,seed_remap,high,1.0
Organum vasculosum of the lamina terminalis,organum vasculosum of the lamina terminalis,,PM34139240,1,1,non_neocortex,seed_remap,high,1.0
orofacial sensorimotor areas,,Mouse,PM41612025,1,1,neocortex,flash,high,0.8667
ORpm,,,PM35838139,1,1,neocortex,flash,medium,0.7333
ORX neurons,orexin neurons,Rat,PM36532270,1,1,non_neocortex,seed_remap,high,1.0
OSNs,olfactory sensory neurons,Mouse,PM39671236,1,1,other,seed_remap,high,1.0
OT D1-SPNs,olfactory tubercle D1 SPNs,Mouse,PM37898623,1,1,non_neocortex,seed_remap,high,1.0
OT neurons,oxytocin neurons,Mouse,PM35868323,1,1,non_neocortex,seed_remap,high,1.0
other brain areas,,,PM40657851,1,1,other,seed_remap,high,1.0
other cortices,,,PM38777132,1,1,ambiguous,flash,medium,0.4333
other OA-DN clusters,,,PM38698992,1,1,ambiguous,flash,medium,0.2667
other spinal neurons,intraspinal neurons (non-DREADD-expressing),Mouse,PM36571760,1,1,non_neocortex,seed_remap,high,1.0
outer molecular layer granule cells,outer molecular layer granule cells,Mouse,PM42136574,1,1,non_neocortex,seed_remap,high,1.0
outer saccule,outer saccule,Mouse,PM36280667,1,1,other,seed_remap,high,1.0
over 60 distinct brain regions,,Mouse,PM32639229,1,1,other,seed_remap,high,1.0
OX-A neurons,orexin-A neurons,Mouse,PM40542554,1,1,non_neocortex,seed_remap,high,1.0
OXA neurons,orexin-A neurons,Rat,PM32721850,1,1,non_neocortex,seed_remap,high,1.0
OXB neurons,orexin-B neurons,Rat,PM32721850,1,1,non_neocortex,seed_remap,high,1.0
Oxtr-expressing neurons,oxytocin receptor-expressing neurons,Prairie vole,PM33092784,1,1,other,seed_remap,high,1.0
OxtrINs,oxytocin receptor interneurons,Mouse,PM36442105,1,1,other,seed_remap,high,1.0
p-dmCPu,posterior dorsomedial caudate–putamen,Rat,PM40309888,1,1,non_neocortex,seed_remap,high,1.0
P-DMS,posterior dorsomedial striatum,Mouse,PM40161810,1,1,non_neocortex,seed_remap,high,1.0
P/MnR,median raphe nucleus,Mouse,PM38654275,1,1,non_neocortex,seed_remap,high,1.0
pAAC,putative axon-axon initial segment contacts,Mouse,PM37986757,1,1,other,seed_remap,high,1.0
PAG neurons,periaqueductal gray neurons,Mouse,PM42239644,1,1,non_neocortex,seed_remap,high,1.0
PAG pyramidal neurons,periaqueductal gray pyramidal neurons,Mouse,PM42239644,1,1,non_neocortex,seed_remap,high,1.0
PAGdl,dorsolateral periaqueductal gray,,PM36606723,1,1,non_neocortex,seed_remap,high,1.0
PAGdm-dl,periaqueductal gray dorsomedial-dorsolateral,Rat,PM38454083,1,1,non_neocortex,seed_remap,high,1.0
PAGdm/PAGdl,dorsomedial and dorsolateral subregions of the periaqueductal gray matter,Rat,PM38454083,1,1,non_neocortex,seed_remap,high,1.0
pallial areas outside of isocortex,"hippocampal formation, piriform cortex, amygdala",,PM40777408,1,1,other,seed_remap,high,1.0
pallidus raphé nucleus,pallidus raphé nucleus,,PM36271640,1,1,non_neocortex,seed_remap,high,1.0
pallium,,,PM38289191,1,1,other,seed_remap,high,1.0
pancreas-innervating vagal sensory neurons,pancreas-innervating vagal sensory neurons,Mouse,PM33121946,1,1,other,seed_remap,high,1.0
PAR,parasubiculum,,PM41959300,1,1,non_neocortex,seed_remap,high,1.0
parabigeminal nucleus,parabigeminal nucleus,,PM33236346,1,1,non_neocortex,seed_remap,high,1.0
