record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence,final_reason,seed_old_label,flash_a_label,flash_b_label,flash_c_label,flash_agreement,flash_vote_split,pro_a_label,pro_b_label,pro_c_label,pro_agreement,pro_vote_split,flash_a_reason,flash_b_reason,flash_c_reason,pro_a_reason,pro_b_reason,pro_c_reason
5597,NTS neurons (CRD-activated),nucleus tractus solitarius neurons,,PM37837642,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5598,NTS TH-EGFP neurons,NTS tyrosine hydroxylase neurons,Mouse,PM41397282,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5599,NTS-CCK neurons,nucleus tractus solitarius CCK neurons,Mouse,PM39509587,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5600,NTS-producing neurons,neurotensin-producing neurons,Mouse,PM35860212,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5601,NTSGlu,glutamatergic neurons in the nucleus tractus solitarius,,PM41933645,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5602,Ntsr1-cre tagged layer 6 neurons of insular cortex,Ntsr1-cre tagged layer 6 neurons of the insular cortex,,PM34949990,1,1,neocortex,flash,high,0.8467,Insular cortex is typically considered neocortex (isocortex). Layer 6 neurons. | Insular cortex is considered part of neocortex. | Insular cortex is borderline mesocortex but conventionally considered neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Insular cortex is typically considered neocortex (isocortex). Layer 6 neurons.,Insular cortex is considered part of neocortex.,Insular cortex is borderline mesocortex but conventionally considered neocortex.,,,
5603,Ntsr1-L6CT,,Mouse,PM39392390,1,1,other,flash,medium,0.8833,"Ntsr1-L6CT likely layer 6 corticothalamic neurons in neocortex, but acronym ambiguous. | Transgenic line identifier, not a brain region. | Acronym likely refers to layer 6 cell type, not a specific region.",cortical,neocortex,other,other,2/3,2-1,,,,,,"Ntsr1-L6CT likely layer 6 corticothalamic neurons in neocortex, but acronym ambiguous.","Transgenic line identifier, not a brain region.","Acronym likely refers to layer 6 cell type, not a specific region.",,,
5604,Ntsr1-L6CT neurons,,Mouse,PM39392390,1,1,neocortex,flash,high,0.9667,"Ntsr1-expressing layer 6 corticothalamic neurons are neocortical. | Ntsr1-L6CT neurons are layer 6 corticothalamic neurons of the neocortex. | Ntsr1-L6CT neurons are layer 6 corticothalamic neurons, part of neocortex.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Ntsr1-expressing layer 6 corticothalamic neurons are neocortical.,Ntsr1-L6CT neurons are layer 6 corticothalamic neurons of the neocortex.,"Ntsr1-L6CT neurons are layer 6 corticothalamic neurons, part of neocortex.",,,
5605,nuclei of the diagonal band,nuclei of the diagonal band,,PM40880178,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5606,nucleus accumbens MSNs,nucleus accumbens medium spiny neurons,Mouse,PM38485256,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5607,nucleus incertus,nucleus incertus,Rat,PM38710334,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5608,nucleus of Darkschwitz,nucleus of Darkschwitz,,PM33715169,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5609,nucleus of the lateral olfactory tract,nucleus of the lateral olfactory tract,,PM42133082,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5610,nucleus of the optic tract,nucleus of the optic tract,Macaque,PM34994767,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5611,nucleus of the posterior commissure,magnocellular nucleus of the posterior commissure,,PM35084433,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5612,nucleus raphe magnus,nucleus raphe magnus,Mouse,PM33452250,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5613,nucleus raphe pallidus,nucleus raphe pallidus,Mouse,PM33452250,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5614,nucleus rotundus,nucleus rotundus,,PM33483632,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5615,nucleus ruber,,,PM36455518,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5616,nucleus submedius of thalamus,nucleus submedius of thalamus,,PM34061020,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5617,nucleus tractus solitaries,nucleus tractus solitaries,Rat,PM35583808,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5618,nucleus tractus solitarii,nucleus tractus solitarii,,PM42203107,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5619,nVI,abducens nucleus,Macaque,PM33083961,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5620,NVsnpr,main sensory nucleus,Mouse,PM41673392,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5621,O-LM interneurons,oriens lacunosum-moleculare interneurons,Mouse,PM33350452,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5622,O1,occipital lobe,Human,PM38376527,1,1,neocortex,flash,high,0.9667,"Occipital lobe is primarily neocortex; O1 is an occipital area. | Occipital lobe is a neocortical region. | O1 is occipital lobe, which is neocortex.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Occipital lobe is primarily neocortex; O1 is an occipital area.,Occipital lobe is a neocortical region.,"O1 is occipital lobe, which is neocortex.",,,
5623,OB GC,olfactory bulb granule cell layer,Mouse,PM39837663,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5624,OB MC,olfactory bulb mitral cell,Rat,PM32625065,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5625,oblique dendrites of L5PN,oblique dendrites of layer 5 pyramidal neurons,,PM37939085,1,1,other,flash,medium,0.95,"Subcellular structure (dendrites of pyramidal neurons), not a brain region. | Subcellular compartment (dendrites), not a gray matter region. | Oblique dendrites of L5PN refer to layer 5 pyramidal neurons, which are neocortical.",cortical,other,other,neocortex,2/3,2-1,,,,,,"Subcellular structure (dendrites of pyramidal neurons), not a brain region.","Subcellular compartment (dendrites), not a gray matter region.","Oblique dendrites of L5PN refer to layer 5 pyramidal neurons, which are neocortical.",,,
5626,obscurus raphé nucleus,obscurus raphé nucleus,,PM36271640,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5627,OCA,octavolateral column area,,PM37164181,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5628,occipital thalamus,occipital thalamus,,PM37304427,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5629,occipital visual cortex,occipital visual cortex,Human,PM39709961,1,1,neocortex,flash,high,0.9667,Occipital visual cortex is neocortex (visual areas). | Occipital visual cortex is neocortex. | Occipital visual cortex is a neocortical area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Occipital visual cortex is neocortex (visual areas).,Occipital visual cortex is neocortex.,Occipital visual cortex is a neocortical area.,,,
5630,OCT,occipito-temporal cortex,,PM36897881,1,1,neocortex,flash,high,0.9667,Occipito-temporal cortex is neocortical association cortex. | Occipito-temporal cortex is neocortical association cortex. | OCT (occipito-temporal cortex) is neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Occipito-temporal cortex is neocortical association cortex.,Occipito-temporal cortex is neocortical association cortex.,OCT (occipito-temporal cortex) is neocortex.,,,
5631,octopus cells,octopus cells,Gerbil,PM36279465,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5632,oculomotor-associated subnuclei,oculomotor-associated subnuclei,,PM34417283,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5633,OFC GABAergic neurons,orbitofrontal cortex GABAergic neurons,,PM37678166,1,1,neocortex,flash,high,0.9667,"Orbitofrontal cortex is neocortex (prefrontal area). | Orbitofrontal cortex (OFC) is a neocortical area. | OFC GABAergic neurons are in orbitofrontal cortex, a neocortical region.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Orbitofrontal cortex is neocortex (prefrontal area).,Orbitofrontal cortex (OFC) is a neocortical area.,"OFC GABAergic neurons are in orbitofrontal cortex, a neocortical region.",,,
5634,OG,olfactory glomerulus,,PM32949023,1,1,non_neocortex,flash,high,0.9667,"Olfactory glomerulus is part of olfactory bulb, allocortex. | Olfactory glomerulus is part of the olfactory bulb, which is allocortex, not neocortex. | Olfactory glomerulus is part of olfactory bulb (allocortex).",cortical,non_neocortex,non_neocortex,non_neocortex,3/3,3-0,,,,,,"Olfactory glomerulus is part of olfactory bulb, allocortex.","Olfactory glomerulus is part of the olfactory bulb, which is allocortex, not neocortex.",Olfactory glomerulus is part of olfactory bulb (allocortex).,,,
5635,olfactory area,olfactory area,,PM41573365,1,1,non_neocortex,flash,high,0.9667,"Olfactory area is allocortex, not neocortex. | Olfactory area refers to olfactory cortex/bulb, which is non-neocortical allocortex. | Olfactory area typically refers to olfactory cortex (allocortex).",cortical,non_neocortex,non_neocortex,non_neocortex,3/3,3-0,,,,,,"Olfactory area is allocortex, not neocortex.","Olfactory area refers to olfactory cortex/bulb, which is non-neocortical allocortex.",Olfactory area typically refers to olfactory cortex (allocortex).,,,
5636,olfactory bulbs,,,PM34697803,1,1,non_neocortex,seed_keyword,high,1.0,seed: cortical + keyword 'olfactory bulb' → non_neocortex,cortical,,,,,,,,,,,,,,,,
5637,olfactory nerve,,,PM32769989,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5638,olfactory system,,Human,PM38844444,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5639,oligoglomerular PN,,,PM32949023,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5640,olivary pretectal nucleus,olivary pretectal nucleus,Rat,PM33786741,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5641,OLMα2 cells,OLMα2 cells,Mouse,PM40757734,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5642,Onuf's nuclei,Onuf's nuclei,Rat,PM35018366,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5643,OP-derived SPNs,occipital/posterior progenitor-derived striatal spiny projection neurons,Mouse,PM33910016,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5644,OP/PoCg,parietal operculum/post-central gyrus,Human,PM34284239,1,1,neocortex,flash,high,0.9667,Parietal operculum and post-central gyrus are neocortex. | Fullname 'parietal operculum/post-central gyrus' indicates neocortical somatosensory and parietal regions. | Parietal operculum and post-central gyrus are neocortical areas.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Parietal operculum and post-central gyrus are neocortex.,Fullname 'parietal operculum/post-central gyrus' indicates neocortical somatosensory and parietal regions.,Parietal operculum and post-central gyrus are neocortical areas.,,,
5645,opposing IaINs,,,PM41494035,1,1,other,flash,high,0.8833,"Appears to be a cell type group, not a brain region. | 'Opposing IaINs' describes a cell type (interneurons), not a brain region. | Not a brain region name; likely refers to a cell type or fiber.",ambiguous,other,other,other,3/3,3-0,,,,,,"Appears to be a cell type group, not a brain region.","'Opposing IaINs' describes a cell type (interneurons), not a brain region.",Not a brain region name; likely refers to a cell type or fiber.,,,
5646,opposite side of pons,pons,,PM41211046,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5647,opposite side via corpus callosum,corpus callosum,,PM41211046,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5648,OPro,area OPro,,PM40542691,1,1,ambiguous,flash,medium,0.6167,"Abbreviation OPro without clear expansion, cannot determine. | 'Area OPro' typically refers to orbital cortex, a neocortical region, but acronym ambiguity exists. | Area OPro may be orbital proisocortex (transitional); unclear if neocortex or allocortex.",ambiguous,ambiguous,neocortex,ambiguous,2/3,2-1,,,,,,"Abbreviation OPro without clear expansion, cannot determine.","'Area OPro' typically refers to orbital cortex, a neocortical region, but acronym ambiguity exists.",Area OPro may be orbital proisocortex (transitional); unclear if neocortex or allocortex.,,,
5649,optic chiasm,optic chiasm,,PM36909943,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5650,optic tract,optic tract,Mouse,PM32497303,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5651,OR,optic radiation,Marmoset,PM37168578,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5652,orbital frontal cortex,orbital frontal cortex,,PM33380525,1,1,neocortex,flash,high,0.9667,Orbital frontal cortex is part of prefrontal neocortex. | Orbital frontal cortex is a well-known neocortical area (orbitofrontal cortex). | Orbital frontal cortex is part of prefrontal neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Orbital frontal cortex is part of prefrontal neocortex.,Orbital frontal cortex is a well-known neocortical area (orbitofrontal cortex).,Orbital frontal cortex is part of prefrontal neocortex.,,,
5653,orbital gyri,,,PM34999565,1,1,neocortex,flash,high,0.95,"Orbital gyri are part of frontal neocortex. | orbital gyri are part of orbitofrontal neocortex | Orbital gyri are part of orbitofrontal cortex, which is neocortex.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Orbital gyri are part of frontal neocortex.,orbital gyri are part of orbitofrontal neocortex,"Orbital gyri are part of orbitofrontal cortex, which is neocortex.",,,
5654,ORBl,lateral orbitofrontal cortex,Mouse,PM40256320,1,1,neocortex,flash,high,0.97,Fullname 'lateral orbitofrontal cortex' clearly neocortex. | lateral orbitofrontal cortex is neocortex | Fullname 'lateral orbitofrontal cortex' is neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Fullname 'lateral orbitofrontal cortex' clearly neocortex.,lateral orbitofrontal cortex is neocortex,Fullname 'lateral orbitofrontal cortex' is neocortex.,,,
5655,orexin-LH,orexin neurons in the lateral hypothalamus,Mouse,PM41587334,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5656,Organum vasculosum of the lamina terminalis,organum vasculosum of the lamina terminalis,,PM34139240,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5657,orofacial sensorimotor areas,,Mouse,PM41612025,1,1,neocortex,flash,high,0.8667,"Orofacial sensorimotor areas are in neocortex (M1/S1). | likely cortical sensorimotor areas (orofacial), typically neocortex | Orofacial sensorimotor areas refer to neocortical motor/somatosensory regions.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Orofacial sensorimotor areas are in neocortex (M1/S1).,"likely cortical sensorimotor areas (orofacial), typically neocortex",Orofacial sensorimotor areas refer to neocortical motor/somatosensory regions.,,,
5658,ORpm,,,PM35838139,1,1,neocortex,flash,medium,0.7333,"ORpm likely orbital prefrontal medial neocortex. | ORpm likely orbitofrontal cortical area (neocortex) | ORpm likely stands for orbitofrontal cortex, posterior medial, which is neocortex, but acronym not fully expanded.",ambiguous,neocortex,neocortex,neocortex,3/3,3-0,,,,,,ORpm likely orbital prefrontal medial neocortex.,ORpm likely orbitofrontal cortical area (neocortex),"ORpm likely stands for orbitofrontal cortex, posterior medial, which is neocortex, but acronym not fully expanded.",,,
5659,ORX neurons,orexin neurons,Rat,PM36532270,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5660,OSNs,olfactory sensory neurons,Mouse,PM39671236,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5661,OT D1-SPNs,olfactory tubercle D1 SPNs,Mouse,PM37898623,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5662,OT neurons,oxytocin neurons,Mouse,PM35868323,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5663,other brain areas,,,PM40657851,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5664,other cortices,,,PM38777132,1,1,ambiguous,flash,medium,0.4333,'Other cortices' is too vague to determine neocortex vs non_neocortex. | 'other cortices' too vague to assign neocortex vs non-neocortex | 'Other cortices' too vague; could include neocortex or allocortex without specification.,cortical,ambiguous,ambiguous,ambiguous,3/3,3-0,,,,,,'Other cortices' is too vague to determine neocortex vs non_neocortex.,'other cortices' too vague to assign neocortex vs non-neocortex,'Other cortices' too vague; could include neocortex or allocortex without specification.,,,
5665,other OA-DN clusters,,,PM38698992,1,1,ambiguous,flash,medium,0.2667,"'Other OA-DN clusters' not a standard region; unclear if neocortex. | 'other OA-DN clusters' unclear, possibly subcortical but not certain | Unclear term 'OA-DN clusters'; could be cortical or subcortical, no fullname.",ambiguous,ambiguous,ambiguous,ambiguous,3/3,3-0,,,,,,'Other OA-DN clusters' not a standard region; unclear if neocortex.,"'other OA-DN clusters' unclear, possibly subcortical but not certain","Unclear term 'OA-DN clusters'; could be cortical or subcortical, no fullname.",,,
5666,other spinal neurons,intraspinal neurons (non-DREADD-expressing),Mouse,PM36571760,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5667,outer molecular layer granule cells,outer molecular layer granule cells,Mouse,PM42136574,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5668,outer saccule,outer saccule,Mouse,PM36280667,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5669,over 60 distinct brain regions,,Mouse,PM32639229,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5670,OX-A neurons,orexin-A neurons,Mouse,PM40542554,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5671,OXA neurons,orexin-A neurons,Rat,PM32721850,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5672,OXB neurons,orexin-B neurons,Rat,PM32721850,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5673,Oxtr-expressing neurons,oxytocin receptor-expressing neurons,Prairie vole,PM33092784,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5674,OxtrINs,oxytocin receptor interneurons,Mouse,PM36442105,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5675,p-dmCPu,posterior dorsomedial caudate–putamen,Rat,PM40309888,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5676,P-DMS,posterior dorsomedial striatum,Mouse,PM40161810,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5677,P/MnR,median raphe nucleus,Mouse,PM38654275,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5678,pAAC,putative axon-axon initial segment contacts,Mouse,PM37986757,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5679,PAG neurons,periaqueductal gray neurons,Mouse,PM42239644,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5680,PAG pyramidal neurons,periaqueductal gray pyramidal neurons,Mouse,PM42239644,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5681,PAGdl,dorsolateral periaqueductal gray,,PM36606723,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5682,PAGdm-dl,periaqueductal gray dorsomedial-dorsolateral,Rat,PM38454083,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5683,PAGdm/PAGdl,dorsomedial and dorsolateral subregions of the periaqueductal gray matter,Rat,PM38454083,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5684,pallial areas outside of isocortex,"hippocampal formation, piriform cortex, amygdala",,PM40777408,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5685,pallidus raphé nucleus,pallidus raphé nucleus,,PM36271640,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5686,pallium,,,PM38289191,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5687,pancreas-innervating vagal sensory neurons,pancreas-innervating vagal sensory neurons,Mouse,PM33121946,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5688,PAR,parasubiculum,,PM41959300,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5689,parabigeminal nucleus,parabigeminal nucleus,,PM33236346,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5690,parabrachial (PB) area,parabrachial (PB) area,Mouse,PM35027408,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5691,parabrachial (PB) nucleus taste neurons,parabrachial (PB) nucleus taste neurons,Mouse,PM35027408,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5692,parabrachial (PB) taste neurons,parabrachial (PB) nucleus taste neurons,Mouse,PM35027408,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5693,parabrachial area,parabrachial area (lateral parabrachial area),Mouse,PM38143564,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5694,paracentral lobule,paracentral lobule,Human,PM41996661,1,1,neocortex,flash,high,0.96,"Paracentral lobule is a medial cortical region containing primary motor/sensory areas (neocortex). | Paracentral lobule is part of frontal and parietal neocortex (primary motor/somatosensory). | Medial part of frontal and parietal lobes, isocortex.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Paracentral lobule is a medial cortical region containing primary motor/sensory areas (neocortex).,Paracentral lobule is part of frontal and parietal neocortex (primary motor/somatosensory).,"Medial part of frontal and parietal lobes, isocortex.",,,
5695,paracentral thalamic nucleus,paracentral thalamic nucleus,,PM40464272,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5696,paracingulate cortex,paracingulate cortex,Human,PM33892387,1,1,neocortex,flash,medium,0.8,"Paracingulate cortex is part of medial prefrontal cortex, typically considered neocortex. | Paracingulate cortex is borderline mesocortex/neocortex; not clearly isocortex. | Part of medial prefrontal cortex, isocortex.",cortical,neocortex,ambiguous,neocortex,2/3,2-1,,,,,,"Paracingulate cortex is part of medial prefrontal cortex, typically considered neocortex.",Paracingulate cortex is borderline mesocortex/neocortex; not clearly isocortex.,"Part of medial prefrontal cortex, isocortex.",,,
5697,parafacial ventral nucleus,parafacial ventral nucleus,Mouse,PM33013329,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5698,parafascicular nucleus of thalamus,parafascicular nucleus of thalamus,Mouse,PM35500448,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5699,parafascicular thalamic nucleus,,,PM34611777,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5700,parahippocampal,parahippocampal cortex,,PM40800805,1,1,non_neocortex,seed_keyword,high,1.0,seed: cortical + keyword 'parahippocamp' → non_neocortex,cortical,,,,,,,,,,,,,,,,
5701,parahippocampal areas,parahippocampal areas,Rat,PM32753513,1,1,non_neocortex,seed_keyword,high,1.0,seed: cortical + keyword 'parahippocamp' → non_neocortex,cortical,,,,,,,,,,,,,,,,
5702,parahippocampal cortex,parahippocampal cortex,Human,PM38844444,1,1,non_neocortex,seed_keyword,high,1.0,seed: cortical + keyword 'parahippocamp' → non_neocortex,cortical,,,,,,,,,,,,,,,,
5703,parahypoglossal region,parahypoglossal region,Mouse,PM33013329,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5704,paralyzed forearm,,Human,PM32418913,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5705,paramedian lobule,paramedian lobule,,PM38289187,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5706,paramedian raphe,paramedian raphe,,PM36855269,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5707,paraolivary nuclei,paraolivary nuclei,,PM39487174,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5708,pararubral,pararubral nucleus,,PM33907215,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5709,ParaS,parasubiculum,,PM38378961,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5710,parasympathetic ganglia,parasympathetic ganglia,Mouse,PM35650438,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5711,parasympathetic networks,,Rat,PM33873234,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
5712,paratenial nucleus,paratenial nucleus,Mouse,PM41853066,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
